Wavelength(nm)	Ua(SO2>98)(1/mm) Ua(SO2=0)(1/mm) Us(SO2>98)(1/mm) g(SO2>98)
400 93.07 82.54 40.12 0.7734
402 97.40 85.59 41.27 0.7866
404 101.82 89.21 40.25 0.7769
406 106.16 92.73 39.49 0.7726
408 110.73 96.09 38.90 0.7657
410 113.81 99.87 38.60 0.7604
412 116.09 104.21 38.95 0.7575
414 117.97 108.92 39.87 0.7585
416 118.04 114.03 41.09 0.7606
418 117.22 119.62 42.38 0.7657
420 115.39 125.10 43.91 0.7742
422 111.45 131.52 46.42 0.7896
424 106.30 139.37 49.90 0.8020
426 100.61 145.40 52.74 0.8141
428 94.94 151.01 55.61 0.8290
430 89.18 155.62 57.55 0.8390
432 82.69 159.31 60.51 0.8568
434 74.61 158.30 62.65 0.8710
436 66.95 156.93 64.74 0.8820
438 58.47 133.73 66.40 0.8928
440 51.07 118.33 68.83 0.9026
442 46.60 107.88 70.39 0.9220
444 42.24 88.84 72.82 0.9302 
446 38.21 74.30 73.79 0.9343
448 34.26 54.74 75.07 0.9392
450 31.48 33.81 77.20 0.9447
452 29.42 25.94 78.01 0.9488
454 27.66 19.82 78.82 0.9520
456 26.00 17.04 79.42 0.9544
458 24.47 13.61 80.17 0.9567
460 22.82 11.45 80.31 0.9587
462 21.33 10.37 80.37 0.9611
464 20.10 9.64 80.85 0.9634
466 18.97 9.12 81.74 0.9651
468 17.93 8.65 82.77 0.9665 
470 17.05 8.29 82.61 0.9677
472 16.30 7.99 83.21 0.9684
474 15.71 7.79 83.50 0.9690
476 15.16 7.60 83.81 0.9695
478 14.63 7.44 84.99 0.9700
480 14.15 7.31 86.13 0.9705
482 13.67 7.43 86.48 0.9714
484 13.30 7.56 86.75 0.9723
486 12.92 7.69 86.80 0.9731
488 12.54 7.86 86.81 0.9738
490 12.23 8.10 87.02 0.9743
492 11.94 8.35 87.52 0.9748
494 11.65 8.60 88.31 0.9752
496 11.37 8.87 88.75 0.9756
498 11.19 9.17 88.87 0.9759
500 11.05 9.50 88.63 0.9761
502 10.90 9.88 88.23 0.9762
504 10.74 10.25 87.75 0.9762
506 10.59 10.64 86.35 0.9762
508 10.52 10.99 85.75 0.9762
510 10.55 11.41 85.43 0.9763
512 10.74 11.91 85.03 0.9764
514 11.09 12.42 84.54 0.9765
516 11.59 12.92 83.74 0.9765
518 12.34 13.43 82.61 0.9763
520 13.26 13.98 81.42 0.9760
522 14.36 14.50 79.88 0.9756
524 15.62 15.22 78.06 0.9751
526 17.17 16.04 76.69 0.9744
528 19.20 16.96 75.28 0.9728
530 20.91 17.82 73.83 0.9707
532 22.48 18.66 72.78 0.9687
534 23.91 19.51 71.83 0.9668
