# wavelength (nm), a (m^-1), A (m^-1 °C^-1), b (m^-1) (Hendrik Buiteveld. 1994. optical properties of pure water)
3.000000000000000000e+02, 3.819999843835830688e-02, nan, 1.740000024437904358e-02
3.020000000000000000e+02, 3.610000014305114746e-02, nan, 1.689999923110008240e-02
3.020000000000000000e+02, 3.610000014305114746e-02, nan, 1.689999923110008240e-02
3.040000000000000000e+02, 3.409999981522560120e-02, nan, 1.649999991059303284e-02
3.040000000000000000e+02, 3.409999981522560120e-02, nan, 1.649999991059303284e-02
3.060000000000000000e+02, 3.229999914765357971e-02, nan, 1.600000075995922089e-02
3.060000000000000000e+02, 3.229999914765357971e-02, nan, 1.600000075995922089e-02
3.080000000000000000e+02, 3.050000034272670746e-02, nan, 1.559999957680702209e-02
3.080000000000000000e+02, 3.050000034272670746e-02, nan, 1.559999957680702209e-02
3.100000000000000000e+02, 2.879999950528144836e-02, nan, 1.520000025629997253e-02
3.100000000000000000e+02, 2.879999950528144836e-02, nan, 1.520000025629997253e-02
3.120000000000000000e+02, 2.720000036060810089e-02, nan, 1.480000000447034836e-02
3.120000000000000000e+02, 2.720000036060810089e-02, nan, 1.480000000447034836e-02
3.140000000000000000e+02, 2.569999918341636658e-02, nan, 1.439999975264072418e-02
3.140000000000000000e+02, 2.569999918341636658e-02, nan, 1.439999975264072418e-02
3.160000000000000000e+02, 2.419999986886978149e-02, nan, 1.400000043213367462e-02
3.160000000000000000e+02, 2.419999986886978149e-02, nan, 1.400000043213367462e-02
3.180000000000000000e+02, 2.280000038444995880e-02, nan, 1.370000001043081284e-02
3.180000000000000000e+02, 2.280000038444995880e-02, nan, 1.370000001043081284e-02
3.200000000000000000e+02, 2.150000073015689850e-02, nan, 1.329999975860118866e-02
3.200000000000000000e+02, 2.150000073015689850e-02, nan, 1.329999975860118866e-02
3.220000000000000000e+02, 2.030000090599060059e-02, nan, 1.300000026822090149e-02
3.220000000000000000e+02, 2.030000090599060059e-02, nan, 1.300000026822090149e-02
3.240000000000000000e+02, 1.909999921917915344e-02, nan, 1.260000001639127731e-02
3.240000000000000000e+02, 1.909999921917915344e-02, nan, 1.260000001639127731e-02
3.260000000000000000e+02, 1.799999922513961792e-02, nan, 1.229999959468841553e-02
3.260000000000000000e+02, 1.799999922513961792e-02, nan, 1.229999959468841553e-02
3.280000000000000000e+02, 1.700000092387199402e-02, nan, 1.200000010430812836e-02
3.280000000000000000e+02, 1.700000092387199402e-02, nan, 1.200000010430812836e-02
3.300000000000000000e+02, 1.600000075995922089e-02, nan, 1.169999968260526657e-02
3.300000000000000000e+02, 1.600000075995922089e-02, nan, 1.169999968260526657e-02
3.320000000000000000e+02, 1.510000042617321014e-02, nan, 1.140000019222497940e-02
3.320000000000000000e+02, 1.510000042617321014e-02, nan, 1.140000019222497940e-02
3.340000000000000000e+02, 1.420000009238719940e-02, nan, 1.119999960064888000e-02
3.340000000000000000e+02, 1.420000009238719940e-02, nan, 1.119999960064888000e-02
3.360000000000000000e+02, 1.339999958872795105e-02, nan, 1.090000011026859283e-02
3.360000000000000000e+02, 1.339999958872795105e-02, nan, 1.090000011026859283e-02
3.380000000000000000e+02, 1.269999984651803970e-02, nan, 1.059999968856573105e-02
3.380000000000000000e+02, 1.269999984651803970e-02, nan, 1.059999968856573105e-02
3.400000000000000000e+02, 1.190000027418136597e-02, nan, 1.040000002831220627e-02
3.400000000000000000e+02, 1.190000027418136597e-02, nan, 1.040000002831220627e-02
3.420000000000000000e+02, 1.130000036209821701e-02, nan, 1.009999960660934448e-02
3.420000000000000000e+02, 1.130000036209821701e-02, nan, 1.009999960660934448e-02
3.440000000000000000e+02, 1.070000045001506805e-02, nan, 9.899999946355819702e-03
3.440000000000000000e+02, 1.070000045001506805e-02, nan, 9.899999946355819702e-03
3.460000000000000000e+02, 1.009999960660934448e-02, nan, 9.600000455975532532e-03
3.460000000000000000e+02, 1.009999960660934448e-02, nan, 9.600000455975532532e-03
3.480000000000000000e+02, 9.600000455975532532e-03, nan, 9.399999864399433136e-03
3.480000000000000000e+02, 9.600000455975532532e-03, nan, 9.399999864399433136e-03
3.500000000000000000e+02, 9.100000374019145966e-03, nan, 9.200000204145908356e-03
3.500000000000000000e+02, 9.100000374019145966e-03, nan, 9.200000204145908356e-03
3.520000000000000000e+02, 8.600000292062759399e-03, nan, 8.999999612569808960e-03
3.520000000000000000e+02, 8.600000292062759399e-03, nan, 8.999999612569808960e-03
3.540000000000000000e+02, 8.200000040233135223e-03, nan, 8.799999952316284180e-03
3.540000000000000000e+02, 8.200000040233135223e-03, nan, 8.799999952316284180e-03
3.560000000000000000e+02, 7.799999788403511047e-03, nan, 8.600000292062759399e-03
3.560000000000000000e+02, 7.799999788403511047e-03, nan, 8.600000292062759399e-03
3.580000000000000000e+02, 7.499999832361936569e-03, nan, 8.399999700486660004e-03
3.580000000000000000e+02, 7.499999832361936569e-03, nan, 8.399999700486660004e-03
3.600000000000000000e+02, 7.100000046193599701e-03, nan, 8.200000040233135223e-03
3.600000000000000000e+02, 7.100000046193599701e-03, nan, 8.200000040233135223e-03
3.620000000000000000e+02, 6.899999920278787613e-03, nan, 8.000000379979610443e-03
3.620000000000000000e+02, 6.899999920278787613e-03, nan, 8.000000379979610443e-03
3.640000000000000000e+02, 6.599999964237213135e-03, nan, 7.799999788403511047e-03
3.640000000000000000e+02, 6.599999964237213135e-03, nan, 7.799999788403511047e-03
3.660000000000000000e+02, 6.399999838322401047e-03, nan, 7.600000128149986267e-03
3.660000000000000000e+02, 6.399999838322401047e-03, nan, 7.600000128149986267e-03
3.680000000000000000e+02, 6.200000178068876266e-03, nan, 7.499999832361936569e-03
3.680000000000000000e+02, 6.200000178068876266e-03, nan, 7.499999832361936569e-03
3.700000000000000000e+02, 6.000000052154064178e-03, nan, 7.300000172108411789e-03
3.700000000000000000e+02, 6.000000052154064178e-03, nan, 7.300000172108411789e-03
3.720000000000000000e+02, 5.799999926239252090e-03, nan, 7.100000046193599701e-03
3.720000000000000000e+02, 5.799999926239252090e-03, nan, 7.100000046193599701e-03
3.740000000000000000e+02, 5.700000096112489700e-03, nan, 7.000000216066837311e-03
3.740000000000000000e+02, 5.700000096112489700e-03, nan, 7.000000216066837311e-03
3.760000000000000000e+02, 5.599999800324440002e-03, nan, 6.800000090152025223e-03
3.760000000000000000e+02, 5.599999800324440002e-03, nan, 6.800000090152025223e-03
3.780000000000000000e+02, 5.499999970197677612e-03, nan, 6.699999794363975525e-03
